Date,Open,High,Low,Close,Adj Close,Volume,Number,return,,,,,,
2018-09-17,27.34,28.200001,27.26,28.200001,28.200001,38200,2,0.009305655,1,1.009305655,,,,
2018-09-20,26.68,26.76,26.440001,26.639999,26.639999,21800,5,1,,,,,,
2018-09-24,26.799999,27.24,26.66,26.67,26.67,3600,2,0.001126164,1,1.001126164,,,,
2018-09-27,26.860001,26.860001,26.74,26.74,26.74,28300,5,1,,,,,,
2018-10-01,26,26.639999,25.940001,26.4,26.4,4600,2,-0.012715034,0,0.987284966,,,,
2018-10-04,26.860001,28.799999,26.68,27.799999,27.799999,18600,5,1,,,,,,
2018-10-08,29.190001,30.440001,28.552999,28.639999,28.639999,22500,2,0.030215828,1,1.030215828,,,,
2018-10-11,33.580002,38.400002,32.759998,36.860001,36.860001,97100,5,1,,,,,,
2018-10-15,34.801998,35.639999,33.84,34.27,34.27,23900,2,-0.070265896,0,0.929734104,,,,
2018-10-18,33.23,35.689999,32.900002,34.849998,34.849998,14400,5,1,,,,,,
2018-10-22,34.049999,35.98,34.049999,34.580002,34.580002,18500,2,-0.007747375,0,0.992252625,,,,
2018-10-25,38.299999,39.27,37.110001,37.860001,37.860001,44000,5,1,,,,,,
2018-10-29,38.48,42.139999,38.049999,40.34,40.34,46100,2,0.065504462,1,1.065504462,,,,
2018-11-01,37.830002,38.27,36.34,36.369999,36.369999,40900,5,1,,,,,,
2018-11-05,36.759998,36.889999,36.049999,36.310001,36.310001,9100,2,-0.001649656,0,0.998350344,,,,
2018-11-08,32.380001,32.792,31.709999,32.5,32.5,10300,5,1,,,,,,
2018-11-12,33.669998,36.200001,33.669998,36.060001,36.060001,61100,2,0.109538492,1,1.109538492,,,,
2018-11-15,37.93,38.75,36.73,36.880001,36.880001,37100,5,1,,,,,,
2018-11-19,35.220001,37.450001,35.099998,37.25,37.25,68300,2,0.010032511,1,1.010032511,,,,
2018-11-26,37.880001,37.880001,36.529999,36.549999,36.549999,22900,2,-0.018791973,0,0.981208027,,,,
